Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,ExperimentStarted,PhoneDetected,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,ScreenTooSmall
Safari,980,674,1,1,120,100,45,1200,600,60,1,300,7/18/20,True,please enter your prolific ID here：Erica0718,58,2,2020-07-18_19h54.43.200,AvatarManual,3.2.2,iPad,60,
,,,,,,,,,,,,,,,please enter your prolific ID here：Erica0718,58,2,2020-07-18_19h54.43.200,AvatarManual,3.2.2,iPad,60,True
