Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,ExperimentStarted,PhoneDetected,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,ScreenTooSmall
Safari,980,1832,1,1,120,100,45,1200,600,60,1,300,7/19/20,True, G1-7144,25,1,2020-07-19_02h22.12.140,AvatarManual,3.2.2,iPhone,60,
,,,,,,,,,,,,,,, G1-7144,25,1,2020-07-19_02h22.12.140,AvatarManual,3.2.2,iPhone,60,True
