Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,ExperimentStarted,PhoneDetected,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,ScreenTooSmall
Safari,640,848,1,1,120,100,45,1200,600,60,1,300,7/18/20,True,yuki,61,Female,2020-07-18_17h29.10.094,AvatarManual,3.2.2,iPhone,60,
,,,,,,,,,,,,,,,yuki,61,Female,2020-07-18_17h29.10.094,AvatarManual,3.2.2,iPhone,60,True
