Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,SESSION_ID,STUDY_ID,preview,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,117,3.5,1,[],[],350.7,-157.5,5.5,4817,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,120,3.5,1,[],[],317.3,-157.5,-1.5,4900,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,127,3.5,0,[],[],417.5,-126,-5,5383,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,115,3.5,1,[],[],517.7,-157.5,2,5434,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,138,3.5,1,[],[],400.8,-59.5,19.5,4483,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,109,3.5,0,[],[],334,-3.5,-1.5,7067,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,67,3.5,0,[],[],617.9,171.5,23,4167,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,119,3.5,1,[],[],668,-157.5,-5,5117,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,113,3.5,1,[],[],384.1,-56,-1.5,4716,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,131,3.5,0,[],[],350.7,-224,9,5417,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
