Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,500,-400,0,75,3.5,0,[],[],334,-241.5,2,5175,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,121,3.5,1,[],[],233.8,66.5,-26,4870,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,300,200,0,133,3.5,1,[],[],317.3,164.5,26.5,5316,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,500,-400,0,82,3.5,0,[],[],450.9,-203,-8.5,5777,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,500,-400,0,143,3.5,0,[],[],434.2,-210,2,6775,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,300,-200,0,126,3.5,1,[],[],334,-157.5,5.5,4821,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,140,3.5,1,[],[],417.5,56,5.5,5522,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,300,0,62,3.5,0,[],[],283.9,231,12.5,4905,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,-100,0,139,3.5,1,[],[],267.2,-59.5,-19,4971,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,76,3.5,1,[],[],233.8,56,-1.5,4173,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
