Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,100,0,87,3.5,1,[],[],217.1,80.5,40.5,4737,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,400,0,146,3.5,0,[],[],350.7,245,9,6566,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,118,3.5,1,[],[],317.3,-161,19.5,5293,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,-100,0,122,3.5,1,[],[],217.1,-63,23,4599,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,200,0,84,3.5,1,[],[],334,157.5,-1.5,4167,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,400,0,121,3.5,0,[],[],267.2,238,-15.5,9900,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,84,3.5,1,[],[],317.3,-157.5,-1.5,4395,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,300,0,103,3.5,1,[],[],267.2,259,12.5,5125,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,100,0,148,3.5,1,[],[],334,56,-5,4706,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,-300,0,100,3.5,0,[],[],250.5,-241.5,-5,4898,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,-100,0,147,3.5,1,[],[],350.7,-59.5,19.5,4604,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,300,0,127,3.5,0,[],[],484.3,213.5,5.5,5331,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,400,0,77,3.5,0,[],[],334,248.5,2,6437,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,-400,0,146,3.5,0,[],[],484.3,-206.5,-8.5,6951,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,131,3.5,1,[],[],267.2,-157.5,-1.5,5027,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,-100,0,71,3.5,1,[],[],217.1,-59.5,12.5,4962,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
