Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,200,-100,0,81,3.5,1,[],[],183.7,-56,5.5,4878,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,400,-300,0,83,3.5,1,[],[],267.2,-262.5,19.5,6414,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,-200,0,130,3.5,1,[],[],367.4,-157.5,5.5,6892,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,500,400,0,77,3.5,0,[],[],283.9,241.5,-12,6198,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,-200,0,121,3.5,1,[],[],517.7,-157.5,-12,7395,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,500,400,0,69,3.5,0,[],[],651.3,168,9,5534,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,200,-100,0,96,3.5,1,[],[],317.3,-59.5,12.5,5273,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,200,100,0,75,3.5,0,[],[],350.7,3.5,12.5,5829,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,200,0,125,3.5,1,[],[],300.6,164.5,26.5,7654,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,200,-100,0,142,3.5,1,[],[],317.3,-66.5,30,5710,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
