Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,90,3.5,1,[],[],250.5,-266,26.5,8033,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,400,0,72,3.5,0,[],[],384.1,227.5,-5,4738,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,135,3.5,0,[],[],417.5,-115.5,19.5,6116,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,107,3.5,1,[],[],283.9,-259,12.5,5323,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,145,3.5,1,[],[],250.5,157.5,-1.5,5654,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,149,3.5,0,[],[],701.4,143.5,-8.5,6003,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,81,3.5,0,[],[],417.5,-231,-1.5,7923,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,65,3.5,0,[],[],233.8,-259,5.5,4585,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,84,3.5,1,[],[],133.6,59.5,-15.5,4332,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,130,3.5,1,[],[],200.4,56,-8.5,6271,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,-100,0,144,3.5,1,[],[],334,-56,-1.5,4955,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,400,0,128,3.5,0,[],[],484.3,210,2,5764,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,95,3.5,1,[],[],250.5,-255.5,5.5,15542,1,0,1,0,1,0,48,0,48,0,1,47
